odiNumber,manufacturer,crash,fire,numberOfInjuries,numberOfDeaths,dateOfIncident,dateComplaintFiled,vin,components,summary,type,productYear,productMake,productModel
11636287,honda (american honda motor co.),false,false,0,0,,,5J8TB4H5XGL,"suspension,power train",the contact owns a 2016 acura rdx the contact stated that while his wife was driving 25 mph there was a loud clicking sound coming from underneath the vehicle on the front passenger side of the vehicle no warning lights were illuminated the contacts wife took the vehicle to the local independent mechanic to be diagnosed the contact was informed that the front passengers side axle was faulty and needed to be replaced the vehicle was repaired the manufacturer was notified of the failure the approximate failure mileage was 55495,vehicle,2016,acura,rdx
11635085,honda (american honda motor co.),false,false,0,0,,,5J8TB3H70GL,power train,a judder from the torque converter is felt when driving between 20 and 60 mph,vehicle,2016,acura,rdx
11632077,honda (american honda motor co.),false,false,0,0,,,5J8TB4H53GL,"chest clip, buckle, harness",please see attached photos regarding unsafe issue with our britax 1 for life clicktight carseat purchased 2021 and utilized from the end of 2021 to dec 2024 the harness strap would not tighten with ease so i tugged with light force and the bolts that held the button to loosen the harness popped out the harness then would not tighten at all we threw the seat away but wanted to report the issue to you out of concern for others who are still utilizing this seat,vehicle,2016,acura,rdx
11556426,honda (american honda motor co.),true,false,0,0,,,5J8TB4H37GL,"visibility,tires,service brakes",the contact owns a 2016 acura rdx the contact stated while driving approximately 60 mph a deer had jumped in front of his vehicle the contact stated that he depressed the brake pedal with force however the pedal did not respond and depressed to the floorboard with no resistance the contact stated that he was pumping the brake pedal when he crashed into the deer the contact stated that the vehicle continued forward for several hundred yards before he was able to stop the vehicle the contact stated that he was able to drive the vehicle to a dealer it was an outofstate dealer since he had been traveling when he crashed into the deer the contact stated that the damage was to the front bumper and to the hood of the vehicle which had been deformed due to the crash with the deer the contact stated that the outofstate dealer repaired the crash damage and replaced the brakes with new pads and rotors the contact observed that the vehicle was having a failure of the tire pressure monitoring system light which was constantly illuminated the windshield wiper motor was failing intermittently and the brakes continued to feel mushy the contact took the vehicle to a local dealer who determined that the vehicle failures described by the contact were not duplicated following a diagnosis the vehicle was not repaired the manufacturer was informed of the failure the failure mileage was approximately 100000,vehicle,2016,acura,rdx
11533433,honda (american honda motor co.),false,false,0,0,,,5J8TB3H33GL,power train,while driving in the left of i20 easts two lanes on a descending hill with 5 cars ahead and an unknown number of cars behind at 70 mph and all cars packed in close to the car ahead i saw the lane had no real shoulder before a dropoff and the right lane had a narrow shoulder before it dropped off into woods and brush the right lane was packed with 18wheelers in order to avoid constantly breaking the full length of the hill i shifted into manual mode and a lower gear but the car ahead began to brake suddenly and hard just a second before that car broke i unlocked the shifter and was moving it forward to drive as the car ahead was drastically slowing i had to hit the brakes hard to avoid rearending him and the momentum of sudden braking threw my hand and the shifter all the way forward into park the transmission immediately produced a harsh grinding sound i no longer could disengage the transmission from park and the only controls i now had were brakes and steering alarmed i knew i had to get to the right shoulder but i couldnt look back to see how close trucks were behind the one to my immediate right but by braking that truck slowly moved ahead of me providing a brief opening behind him in the right lane as i cautiously moved into that opening i could see an 18 wheeler approaching but still a short distance back i continued slowly drifting into the right lane with blinkers on when suddenly the approaching truck behind veered partially into the right shoulder in anticipation of passing me in the narrow shoulder lane in the split second of his veering i slowly continued into the shoulder lane causing him to veer back into the right lane his rig full of new cars jerking back left as i gradually slowed to a stop the truck was approaching so fast that in my rearview mirror it looked like he might not miss me as he shot by he cleared me by not much more than a foot his draft shaking my car an automatic transmission going into park  70mph,vehicle,2016,acura,rdx
11533499,honda (american honda motor co.),false,false,0,0,,,5J8TB4H39GL,unknown or other,the transmission is jerky and has a rough up and down shift vehicle has stalled and shut off without warning my wife says the vehicle acts as though its about to die when ac compressorblower kicks on,vehicle,2016,acura,rdx
11472142,honda (american honda motor co.),false,false,0,0,,,5j8tb3h79gl,"power train,fuel/propulsion system",from the time purchased there has been a hesitationsputtering during acceleration i took the car in during the warranty period and they said nothing could be found it has continued for 6 years i have read of similar problems with this model and year,vehicle,2016,acura,rdx
11438737,honda (american honda motor co.),false,false,0,0,,,5j8tb3h55gl,electrical system,after getting my tires rotated the check emission sensor check transmission light and check blind spot system all came on at once and my transmission began jerking,vehicle,2016,acura,rdx
11428505,honda (american honda motor co.),false,false,0,0,,,5J8TB3H37GL,"power train,engine,fuel/propulsion system",vehicle constantly surges during acceleration seems as if the transmission is bad however it also feels as if the fuel filter is clogged this sputter occurs at various speed vehicle has less than 64000 miles is there a fix to this issue,vehicle,2016,acura,rdx
11417657,honda (american honda motor co.),false,false,0,0,,,5J8TB3H74GL,visibility,the contact owns a 2016 acura rdx the contact stated while driving 70 mph the moon roof shattered without impact there were no injuries sustained the vehicle was not taken to be diagnosed the vehicle was not yet repaired neither the dealer nor the manufacturer were informed of the failure the failure mileage was approximately 30000,vehicle,2016,acura,rdx
11412945,honda (american honda motor co.),false,false,0,0,,,5J8TB3H3XGL,"power train,engine",while accelerating the car started stuttering and lost power it seemed like it was in neutral at the light i shifted to park and back to drive and the same problem occurred i was only 2 blocks from home so i checked all fluid levels and they are all ok i drove the car around the block several times and the problem went away,vehicle,2016,acura,rdx
11384903,honda (american honda motor co.),false,false,0,0,,,5J8TB4H5XGL,forward collision avoidance,while driving approximately 40 mph i traveled over a 50 toot 2 lane bridge the fcw and brake warning engaged  there was no other cars in front of me  this occurs each time i travel over this bridge approximately 20 times  it has also happened when travelling over similar bridges  the first time was june 2016  most recently november 2020,vehicle,2016,acura,rdx
11383481,honda (american honda motor co.),false,false,0,0,,,5J8TB3H33GL,engine,happened twice press accelerator and engine bogs way down warning lights seem to cycle through numerous issues dealer could not find anything wrong someone said that internally the electronics switched it to highway mode where the engine switches from 6 cylinders to 3 cylinders in order to provide better mileage first time it happened i was 6 miles from home so i carefully drove it slowly home called the dealer and they had it towed to the dealership second time i was 100 miles from home knowing i was now driving a 3 cylinder instead of 6 i gave myself plenty of room to get up to highway speed since all of the driving was at highway speeds except for two stop signs i was very lucky that i was not driving in a situation where i needed to accelerate rapidly this time i drove it carefully to the dealership and again they could find nothing wrong suspect that they reset it by disconnecting the battery to reset the entire system which is what i will try when it happens next time do not want to drive a hundred miles again like that would rather get my hands dirty and reset it in order to drive safely that far first time around 40000 miles second time around 50000 both times speed was around 2040 mph slight acceleration then it bogged down,vehicle,2016,acura,rdx
11339420,honda (american honda motor co.),false,false,0,0,,,5J8TB3H57GL,unknown or other,defective knock sensor after 40000 mi4 years,vehicle,2016,acura,rdx
11269262,honda (american honda motor co.),false,true,0,0,,,5J8TB3H71GL,engine,2016 acura rdx with approx 31000 miles after approx 15 mile trip parked it at a shopping center turned off the engine and locked the car within 3 min the engine spontaneously caught fire and burned the entire engine compartment before the fire dept put it out contacted honda and told them they should look at it to see if it was an inherant safety problem honda said they were not interested in looking at the car and to let my insurance handle it took it to the dealership where it was purchased after being told by them that they would look into it as it still had a power train warranty dealership failed to provide an inspection of the vehicle and was told by honda not to honor the warranty and let insurance handle it vehicle is totaled and if the insurance co sells it at an auction there will be no evidence left of what caused the spontaneous fire to erupt on such a low mile engine,vehicle,2016,acura,rdx
11218870,honda (american honda motor co.),false,false,0,0,,,5J8TB3H576L,"structure,engine",tl the contact owns a 2016 acura rdx while driving approximately 65 mph a banging noise was heard coming from under the subframe of the vehicle and the air conditioning would no longer blow cool air the vehicle was taken to bradshaw acura 2450 laurens rd greenville sc where it was diagnosed that the air conditioning system bolt had erroneously detached from the vehicle the vehicle was not repaired the manufacturer was not notified the failure mileage was 88000 the vin was invalid,vehicle,2016,acura,rdx
11209152,honda (american honda motor co.),false,false,0,0,,,5J8TB3H50GL,electrical system,hands free link causes battery to drain and this issue is with lots of honda and acura different models and honda knows about this problem and still choose to ignore itclass action lawsuit filed in california about this issue,vehicle,2016,acura,rdx
11206211,honda (american honda motor co.),false,false,0,0,,,5J8TB3H37GL,electrical system,the tale lights park lights have discontinue to work the brake light above truck door is not working  there is not blown fuse or bulb  did not realize until march 9th when my daughter pulled me over to turn on my lights at night  i had head lights but no rear lights at all,vehicle,2016,acura,rdx
11154137,honda (american honda motor co.),false,false,0,0,,,"","structure,unknown or other",i was driving my 2016 acura rdx down a local city road midday there were no cars in the vicinity while driving about 35 mph i suddenly and without warning heard a loud noise of glass shattering there was no prior sound of any animal or object hitting the car i turned around to see my rear driver side window had shattered in its entirety into the car i stopped the car to assess the situation i did not see any animal or rockdebris  just the glass shattered onto the rear passenger seat and floor,vehicle,2016,acura,rdx
11110588,honda (american honda motor co.),false,false,0,0,,,5J8TB4H52GL,power train,tl the contact owns a 2016 acura rdx while driving at an unknown speed the vehicle shook violently stalled and various warning indicators illuminated the vehicle was taken to the dealer curry acura 685 central park ave scarsdale ny 10583 where it was diagnosed that the spool valve failed the vehicle was not repaired the contact stated that the failure occurred numerous times the manufacturer was not notified of the failure the failure mileage was 29592   tr  consumer stated third attempt to repair the car updated 111918jb,vehicle,2016,acura,rdx
11061221,honda (american honda motor co.),true,false,2,0,,,5J8TB3H7XGL,air bags,i was tboned on the driver side door by a ford taurus sedan that ran a red light at a relatively high rate of speed i was taking a left hand turn but the car was stopped and i was yielding to oncoming traffic that was going straight  the taurus hit the backend of a honda crv and then hit me  the driver side door collapsed onto me and the metal from the door gouged my back  the driver side window shattered and cut me with glass  the side air bag curtain and the door airbags didnt deploy  the emergency personnel was concerned about this and looked at the issue and trying to deploy the bags which still did not deploy the airbags in the other cars deployed   i saved the pieces for acura for investigate but they have declined  they will run a diagnostic check for me once the car is fully repaired    acura has confirmed that there were no recalls and there were no indicator lights on in the car to indicate an issue  i have my car serviced at acrura and have not been informed of any airbag repairs,vehicle,2016,acura,rdx
11046652,honda (american honda motor co.),false,false,0,0,,,5J8TB4H7XGL,unknown or other,sunroof exploded as i was driving down the highway,vehicle,2016,acura,rdx
11041039,honda (american honda motor co.),false,false,0,0,,,5J8TB3H38GL,service brakes,the automatic brake mitigation system has deployed on 3 separate occasions for no apparent reason  each time i was driving on a  clear road with no obstructions or traffic in front of my vehicle when the system activated and began braking   this has not let to an accident yet but i think it is an obvious safety hazard because it could cause a driver following behind me to rear  end me or it could cause me to have a single car accident in my own car by unnecessarily braking on a roadway compromised by rain snow or ice when i was not prepared or unable to manage a braking episode  i have reported this to the dealer but the problem is obviously very intermittent and they could not reproduce it nor diagnose it  i feel this is a clear safety issue on a primary safety system,vehicle,2016,acura,rdx
11034116,honda (american honda motor co.),false,false,0,0,,,5J8TB4H59GL,steering,tl the contact owns a 2016 acura rdx the contact stated that the steering wheel failed while exiting a fuel service station when the contact attempted to turn the steering wheel to the right the steering wheel abruptly locked and the vehicle drove into a ditch there were no injuries the steering wheel regained normal operation while reversing the vehicle out of the ditch the contact drove the vehicle home the vehicle was not taken to a dealer for diagnostic testing the manufacturer was not notified the failure mileage was 23000,vehicle,2016,acura,rdx
11010810,honda (american honda motor co.),false,false,0,0,,,5J8TB3H76GL,service brakes,collision mitigation breaking system engages randomly when not necessary seems to be heat related as it occurs during very hot weather a sudden stop is jarring and could be dangerous,vehicle,2016,acura,rdx
10968227,honda (american honda motor co.),false,false,0,0,,,5J8TB4H74GL,"electrical system,service brakes,fuel/propulsion system",my car had 9100 on rdx  i needed to have my pads and rotor replaced on from brakes  i had problems with brakes at 5000 miles when i pick up car i heard noice when pumping breaks when i was picking up vehicle and mechanic could not find anything wrong  i have talk to acura customer service which were not helpful i spoke to jim brown  gm at ron tonkin  he stated he would talk to his manager of repairs and acura rep about car  i have already had the radio and board replaced lane keep assist warning light come on 2 times and reset my software reset the microphone replaced  i have had terrible case mile i have never gone above 196 mpg per gas tank refill darrel said that is epa suggestion my navigation keeps alarming 4 blocks away from my home siri does not work properly  i will tell it to call someone sometimes it does sometimes it doesnt even with new microphone i have had the car in the shop 4 times close to 4 weeks  i have a lemon and would never tell anyone to by an acura,vehicle,2016,acura,rdx
10939768,honda (american honda motor co.),false,false,0,0,,,5J8TB3H50GL,structure,tl the contact owns a 2016 acura rdx while the vehicle was parked the trunk and the moon roof inadvertently opened the failure recurred numerous times the vehicle was not diagnosed or repaired the manufacturer was not made aware of the failure the approximate failure mileage was 27000,vehicle,2016,acura,rdx
10925437,honda (american honda motor co.),false,false,0,0,,,5J8TB4H51GL,service brakes,june 18 2016 i had a service appointment for a road trip special  i was going on a road trip a few days later  i advised xxx my steering wheel is shaking a little when breaking from higher speeds  when i got my car back xxx stated they replaced the front rotors and pads  about 2 weeks later i began hearing a noise sounded like a little grind  kept driving didnt hear it again  as i went about my day time and time again i would hear this small grind  some days would go by and i would hear nothing then suddenly as i am driving i would hear it again i have taken the car back and advised i am hearing what appears to be a grinding noise  in july i told them i was going on a road trip and wanted my brakes checked because i am still hearing this noise  when i picked up my car they did not hear anything  i told them if i hear any noises on my trip i was going to be pissed  my brakes were grinding while i was on my trip  i called the dealership left xxx a voicemail he did not return my call  i didnt think then to record it  i made a service appointment for aug 2 nothing came of it  i took the car in took the tech on a ride and of course could not get the car to make the grinding noise  as a result xxx told me xxx we already changed the pads and rotors if we cannot hear the noise we cannot fix it when it makes the noise to bring it back  i was pissed  not satisfied i contacted the service department again spoke to the service manager xxx he offered that he would take my car and drive it to see if he could hear the noise  aug 10 he stated he did not hear the noise  i told him there is clearly a problem and someone needs to address it take the car apart and look at the breaking mechanism  he told me that they cannot just throw parts on the car hoping it would fix the problem they need to hear the noise in order to fix it    information redacted pursuant to the freedom of information act foia 5 usc 552b6  tr,vehicle,2016,acura,rdx
10911012,honda (american honda motor co.),false,false,0,0,,,5J8TB4H74GL,service brakes,i had 5000 miles on car and my brakes started making noise like the pads needed replacement i was coming to a light and putting my brakes on and also driving on highway i was slowing down and heard the noise took my car to dealer and they stated this can happen if you are on the hills in portland i explain that i do not live in the hills  they resurface rotors but i am concern there is something else is going on,vehicle,2016,acura,rdx
10911013,honda (american honda motor co.),false,false,0,0,,,5J8TB4H74GL,electrical system,my navigation system starts alarming 34 blocks from home stating i home when i am not on my street  also systems says i am at an exit in seattle but it is incorrect  i spoke with acura and they stated the maps are 5 years old when i bought the car i would think maps were up to date  also my radio would erase stations that were preset and show zzzzz on stations  they needed to update software and replace computer boards and radio  also when on a call  it would drop the sound when on phone i also have static while on phone acura stated that the software would correct this but it continues the error  also the car would brake when on its own when i am a 100 ft away from the other car they upated software on 9272016,vehicle,2016,acura,rdx
10911015,honda (american honda motor co.),false,false,0,0,,,5J8TB4H74GL,fuel/propulsion system,gas miles is terrible sometimes i get 07 average gas miles when i was driving slow and fast on freeway after reseting miles per gallon  i use premium gas and i let acura aware of problems i filled my gas tank up again and it continues to get poor gas miles,vehicle,2016,acura,rdx
10895311,honda (american honda motor co.),false,false,0,0,,,5J8TB4H32GL,electrical system,tl the contact owns a 2016 acura rdx while driving 55 mph the odometer gauges failed within a five mile drive the odometer reading jumped from 9995 miles to 10231 miles the vehicle was taken to the dealer to be diagnosed the contact was informed by the mechanic that the reading on the odometer and reading on the internal memory were the same the manufacturer was notified of the failure the approximate failure mileage was 9995,vehicle,2016,acura,rdx
